time,Reaction_Force_Along_X,,,Analytical 
0,0,,0,0
0.0002,999700.09,,0.001,5000000
0.0004,1999300.275,,0.002,10000000
0.0006,2998800.575,,0.003,15000000
0.0008,3998201.009,,0.004,20000000
0.001,4997501.599,,0.005,25000000
0.0012,5996702.363,,0.006,30000000
0.0014,6995803.322,,0.007,35000000
0.0016,7994804.496,,0.008,40000000
0.0018,8993705.904,,0.009,45000000
0.002,9992507.566,,0.01,50000000
0.0022,10991209.5,,0.011,55000000
0.0024,11989811.73,,0.012,60000000
0.0026,12988314.28,,0.013,65000000
0.0028,13986717.16,,0.014,70000000
0.003,14985020.39,,0.015,75000000
0.0032,15983224,,0.016,80000000
0.0034,16981328,,0.017,85000000
0.0036,17979332.42,,0.018,90000000
0.0038,18977237.27,,0.019,95000000
0.004,19975042.57,,0.02,100000000
0.0042,20972748.34,,0.021,96666666.67
0.0044,21970354.61,,0.022,93333333.33
0.0046,22967861.39,,0.023,90000000
0.0048,23965268.7,,0.024,86666666.67
0.005,24962576.57,,0.025,83333333.33
0.0052,25959785.01,,0.026,80000000
0.0054,26956894.04,,0.027,76666666.67
0.0056,27953903.68,,0.028,73333333.33
0.0058,28950813.96,,0.029,70000000
0.006,29947624.88,,0.03,66666666.67
0.0062,30944336.48,,0.031,63333333.33
0.0064,31940948.77,,0.032,60000000
0.0066,32937461.77,,0.033,56666666.67
0.0068,33933875.5,,0.034,53333333.33
0.007,34930189.98,,0.035,50000000
0.0072,35926405.24,,0.036,46666666.67
0.0074,36922521.28,,0.037,43333333.33
0.0076,37918538.13,,0.038,40000000
0.0078,38914455.81,,0.039,36666666.67
0.008,39910274.34,,0.04,33333333.33
0.0082,40905993.74,,0.041,30000000
0.0084,41901614.03,,0.042,26666666.67
0.0086,42897135.23,,0.043,23333333.33
0.0088,43892557.36,,0.044,20000000
0.009,44887880.43,,0.045,16666666.67
0.0092,45883104.47,,0.046,13333333.33
0.0094,46878229.5,,0.047,10000000
0.0096,47873255.54,,0.048,6666666.667
0.0098,48868182.6,,0.049,3333333.333
0.01,49863010.71,,0.05,0
0.0102,50857739.88,,0.051,0
0.0104,51852370.14,,0.052,0
0.0106,52846901.51,,0.053,0
0.0108,53841334,,0.054,0
0.011,54835667.64,,0.055,0
0.0112,55829902.44,,0.056,0
0.0114,56824038.43,,0.057,0
0.0116,57818075.61,,0.058,0
0.0118,58812014.03,,0.059,0
0.012,59805853.68,,0.06,0
0.0122,60799594.6,,0.061,0
0.0124,61793236.8,,0.062,0
0.0126,62786780.3,,0.063,0
0.0128,63780225.13,,0.064,0
0.013,64773571.29,,0.065,0
0.0132,65766818.82,,0.066,0
0.0134,66759967.72,,0.067,0
0.0136,67753018.03,,0.068,0
0.0138,68745969.75,,0.069,0
0.014,69738822.92,,0.07,0
0.0142,70731577.54,,0.071,0
0.0144,71724233.64,,0.072,0
0.0146,72716791.24,,0.073,0
0.0148,73709250.35,,0.074,0
0.015,74701611,,0.075,0
0.0152,75693873.21,,0.076,0
0.0154,76686036.99,,0.077,0
0.0156,77678102.37,,0.078,0
0.0158,78670069.37,,0.079,0
0.016,79661937.99,,0.08,0
0.0162,80653708.28,,0.081,0
0.0164,81645380.23,,0.082,0
0.0166,82636953.88,,0.083,0
0.0168,83628429.24,,0.084,0
0.017,84619806.33,,0.085,0
0.0172,85611085.17,,0.086,0
0.0174,86602265.79,,0.087,0
0.0176,87593348.19,,0.088,0
0.0178,88584332.41,,0.089,0
0.018,89575218.45,,0.09,0
0.0182,90566006.34,,0.091,0
0.0184,91556696.1,,0.092,0
0.0186,92547287.75,,0.093,0
0.0188,93537781.3,,0.094,0
0.019,94528176.78,,0.095,0
0.0192,95518474.21,,0.096,0
0.0194,96508673.6,,0.097,0
0.0196,97498774.97,,0.098,0
0.0198,98488778.35,,0.099,0
0.02,99478683.75,,0.1,0
0.0202,100468491.2,,0.101,0
0.0204,98994411.25,,0.102,0
0.0206,98323308.72,,0.103,0
0.0208,97652236.71,,0.104,0
0.021,96981195.22,,0.105,0
0.0212,96310184.23,,0.106,0
0.0214,95639203.75,,0.107,0
0.0216,94968253.77,,0.108,0
0.0218,94297334.28,,0.109,0
0.022,93626445.27,,0.11,0
0.0222,92955586.74,,0.111,0
0.0224,92284758.68,,0.112,0
0.0226,91613961.09,,0.113,0
0.0228,90943193.95,,0.114,0
0.023,90272457.27,,0.115,0
0.0232,89601751.04,,0.116,0
0.0234,88931075.25,,0.117,0
0.0236,88260429.89,,0.118,0
0.0238,87589814.96,,0.119,0
0.024,86919230.46,,0.12,0
0.0242,86248676.37,,0.121,0
0.0244,85578152.69,,0.122,0
0.0246,84907659.41,,0.123,0
0.0248,84237196.53,,0.124,0
0.025,83566764.05,,0.125,0
0.0252,82896361.95,,0.126,0
0.0254,82225990.23,,0.127,0
0.0256,81555648.88,,0.128,0
0.0258,80885337.9,,0.129,0
0.026,80215057.27,,0.13,0
0.0262,79544807.01,,0.131,0
0.0264,78874587.09,,0.132,0
0.0266,78204397.51,,0.133,0
0.0268,77534238.27,,0.134,0
