time,Reaction_Force_Along_X,,,0,0,0
0,0,,,0.001,2438734.052,0
0.001,2438734.052,,,0.002,4876888.01,2500000
0.002,4876888.01,,,0.003,7314462.138,5000000
0.003,7314462.138,,,0.004,9751456.71,7500000
0.004,9751456.71,,,0.005,12187872,10000000
0.005,12187872,,,0.006,14623708.27,12500000
0.006,14623708.27,,,0.007,17058965.8,15000000
0.007,17058965.8,,,0.008,19493644.86,17500000
0.008,19493644.86,,,0.009,21927745.73,20000000
0.009,21927745.73,,,0.01,24361268.66,22500000
0.01,24361268.66,,,0.011,26794213.94,25000000
0.011,26794213.94,,,0.012,29226581.84,27500000
0.012,29226581.84,,,0.013,31658372.61,30000000
0.013,31658372.61,,,0.014,34089586.55,32500000
0.014,34089586.55,,,0.015,36520223.91,35000000
0.015,36520223.91,,,0.016,38950284.96,37500000
0.016,38950284.96,,,0.017,41379769.98,40000000
0.017,41379769.98,,,0.018,43808679.24,42500000
0.018,43808679.24,,,0.019,46237012.99,45000000
0.019,46237012.99,,,0.02,48664771.53,47500000
0.02,48664771.53,,,0.021,51091955.1,50000000
0.021,51091955.1,,,0.022,53518563.99,52500000
0.022,53518563.99,,,0.023,55944598.46,55000000
0.023,55944598.46,,,0.024,58370058.77,57500000
0.024,58370058.77,,,0.025,60794945.2,60000000
0.025,60794945.2,,,0.026,63219258.02,62500000
0.026,63219258.02,,,0.027,65642997.49,65000000
0.027,65642997.49,,,0.028,68066163.88,67500000
0.028,68066163.88,,,0.029,70488757.46,70000000
0.029,70488757.46,,,0.03,72910778.5,72500000
0.03,72910778.5,,,0.031,75332227.26,75000000
0.031,75332227.26,,,0.032,77753104.01,77500000
0.032,77753104.01,,,0.033,80173409.01,80000000
0.033,80173409.01,,,0.034,82593142.54,82500000
0.034,82593142.54,,,0.035,85012304.86,85000000
0.035,85012304.86,,,0.036,87430896.24,87500000
0.036,87430896.24,,,0.037,89848916.94,90000000
0.037,89848916.94,,,0.038,92266367.22,92500000
0.038,92266367.22,,,0.039,94683247.36,95000000
0.039,94683247.36,,,0.04,97099557.62,97500000
0.04,97099557.62,,,0.041,99515298.27,100000000
0.041,99515298.27,,,0.042,101930469.6,9999000000
0.042,101930469.6,,,0.043,95303726.8,9998000000
0.043,95303726.8,,,0.044,93626447.13,9997000000
0.044,93626447.13,,,0.045,91949357.9,9996000000
0.045,91949357.9,,,0.046,90272459.06,9995000000
0.046,90272459.06,,,0.047,88595750.52,9994000000
0.047,88595750.52,,,0.048,86919232.18,9993000000
0.048,86919232.18,,,0.049,85242903.93,9992000000
0.049,85242903.93,,,0.05,83566765.7,9991000000
0.05,83566765.7,,,0.051,81890817.37,9990000000
0.051,81890817.37,,,0.052,80215058.85,9989000000
0.052,80215058.85,,,0.053,78539490.05,9988000000
0.053,78539490.05,,,0.054,76864110.87,9987000000
0.054,76864110.87,,,0.055,75188921.21,9986000000
0.055,75188921.21,,,0.056,73513920.98,9985000000
0.056,73513920.98,,,0.057,71839110.08,9984000000
0.057,71839110.08,,,0.058,70164488.42,9983000000
